FREGUESIA,PARTIDO,VOTOS
10504,BE,40
10504,CDSPP,416
10504,MPT,7
10504,PCPPEV,59
10504,PCTPMRPP,13
10504,PH,9
10504,PPDPSD,672
10504,PPM,10
10504,PS,838
10504,PSN,2
10505,BE,144
10505,CDSPP,886
10505,MPT,13
10505,PCPPEV,267
10505,PCTPMRPP,19
10505,PH,16
10505,PPDPSD,1452
10505,PPM,7
10505,PS,2368
10505,PSN,8
10506,BE,314
10506,CDSPP,1082
10506,MPT,18
10506,PCPPEV,300
10506,PCTPMRPP,31
10506,PH,13
10506,PPDPSD,1802
10506,PPM,27
10506,PS,2407
10506,PSN,3
10507,BE,3
10507,CDSPP,207
10507,MPT,1
10507,PCPPEV,5
10507,PCTPMRPP,2
10507,PH,1
10507,PPDPSD,344
10507,PPM,2
10507,PS,141
10507,PSN,3
10508,BE,26
10508,CDSPP,377
10508,MPT,4
10508,PCPPEV,25
10508,PCTPMRPP,5
10508,PH,6
10508,PPDPSD,1520
10508,PPM,4
10508,PS,545
10508,PSN,5
10509,BE,3
10509,CDSPP,179
10509,MPT,2
10509,PCPPEV,9
10509,PCTPMRPP,1
10509,PH,1
10509,PPDPSD,248
10509,PPM,2
10509,PS,123
10509,PSN,1
10510,BE,52
10510,CDSPP,461
10510,MPT,5
10510,PCPPEV,67
10510,PCTPMRPP,9
10510,PH,8
10510,PPDPSD,866
10510,PPM,8
10510,PS,784
10510,PSN,2
10511,BE,2
10511,CDSPP,76
10511,MPT,1
10511,PCPPEV,12
10511,PCTPMRPP,2
10511,PH,2
10511,PPDPSD,105
10511,PPM,0
10511,PS,283
10511,PSN,1
10512,BE,223
10512,CDSPP,826
10512,MPT,18
10512,PCPPEV,264
10512,PCTPMRPP,14
10512,PH,7
10512,PPDPSD,1349
10512,PPM,7
10512,PS,1830
10512,PSN,4
10513,BE,59
10513,CDSPP,569
10513,MPT,9
10513,PCPPEV,141
10513,PCTPMRPP,20
10513,PH,5
10513,PPDPSD,1407
10513,PPM,12
10513,PS,1382
10513,PSN,9
10514,BE,2
10514,CDSPP,207
10514,MPT,0
10514,PCPPEV,12
10514,PCTPMRPP,0
10514,PH,2
10514,PPDPSD,513
10514,PPM,1
10514,PS,158
10514,PSN,0
10601,BE,6
10601,CDSPP,27
10601,MPT,2
10601,PCPPEV,11
10601,PCTPMRPP,3
10601,PH,0
10601,PPDPSD,452
10601,PPM,1
10601,PS,491
10601,PSN,1
10602,BE,13
10602,CDSPP,33
10602,MPT,1
10602,PCPPEV,9
10602,PCTPMRPP,3
10602,PH,2
10602,PPDPSD,329
10602,PPM,2
10602,PS,567
10602,PSN,0
10603,BE,0
10603,CDSPP,55
10603,MPT,1
10603,PCPPEV,12
10603,PCTPMRPP,1
10603,PH,5
10603,PPDPSD,253
10603,PPM,3
10603,PS,208
10603,PSN,2
10604,BE,11
10604,CDSPP,31
10604,MPT,3
10604,PCPPEV,29
10604,PCTPMRPP,4
10604,PH,4
10604,PPDPSD,228
10604,PPM,2
10604,PS,506
10604,PSN,3
10605,BE,16
10605,CDSPP,49
10605,MPT,3
10605,PCPPEV,37
10605,PCTPMRPP,9
10605,PH,1
10605,PPDPSD,327
10605,PPM,2
10605,PS,662
10605,PSN,3
10606,BE,5
10606,CDSPP,36
10606,MPT,2
10606,PCPPEV,12
10606,PCTPMRPP,3
10606,PH,3
10606,PPDPSD,233
10606,PPM,2
10606,PS,351
10606,PSN,0
10607,BE,6
10607,CDSPP,53
10607,MPT,3
10607,PCPPEV,12
10607,PCTPMRPP,1
10607,PH,6
10607,PPDPSD,688
10607,PPM,5
10607,PS,575
10607,PSN,3
10608,BE,3
10608,CDSPP,41
10608,MPT,1
10608,PCPPEV,9
10608,PCTPMRPP,0
10608,PH,3
10608,PPDPSD,534
10608,PPM,1
10608,PS,329
10608,PSN,0
10609,BE,29
10609,CDSPP,101
10609,MPT,1
10609,PCPPEV,25
10609,PCTPMRPP,4
10609,PH,3
10609,PPDPSD,619
10609,PPM,1
10609,PS,655
10609,PSN,5
10701,BE,75
10701,CDSPP,467
10701,MPT,16
10701,PCPPEV,512
10701,PCTPMRPP,45
10701,PH,16
10701,PPDPSD,1821
10701,PPM,19
10701,PS,2680
10701,PSN,6
10702,BE,243
10702,CDSPP,818
10702,MPT,25
10702,PCPPEV,559
10702,PCTPMRPP,33
10702,PH,8
10702,PPDPSD,2978
10702,PPM,31
10702,PS,2692
10702,PSN,7
10703,BE,2
10703,CDSPP,66
10703,MPT,3
10703,PCPPEV,51
10703,PCTPMRPP,3
10703,PH,3
10703,PPDPSD,421
10703,PPM,1
10703,PS,375
10703,PSN,2
10704,BE,25
10704,CDSPP,180
10704,MPT,5
10704,PCPPEV,201
10704,PCTPMRPP,25
10704,PH,5
10704,PPDPSD,544
10704,PPM,14
10704,PS,1035
10704,PSN,3
10705,BE,33
10705,CDSPP,236
10705,MPT,7
10705,PCPPEV,448
10705,PCTPMRPP,42
10705,PH,4
10705,PPDPSD,823
10705,PPM,21
10705,PS,2767
10705,PSN,8
10801,BE,38
10801,CDSPP,328
10801,MPT,6
10801,PCPPEV,114
10801,PCTPMRPP,13
10801,PH,11
10801,PPDPSD,1178
10801,PPM,14
10801,PS,1220
10801,PSN,6
10802,BE,79
10802,CDSPP,445
10802,MPT,14
10802,PCPPEV,226
10802,PCTPMRPP,21
10802,PH,8
10802,PPDPSD,1423
10802,PPM,9
10802,PS,1672
10802,PSN,3
10803,BE,16
10803,CDSPP,109
10803,MPT,2
10803,PCPPEV,36
10803,PCTPMRPP,0
10803,PH,2
10803,PPDPSD,446
10803,PPM,2
10803,PS,254
10803,PSN,2
10804,BE,7
10804,CDSPP,139
10804,MPT,1
10804,PCPPEV,32
10804,PCTPMRPP,6
10804,PH,5
10804,PPDPSD,403
10804,PPM,6
10804,PS,292
10804,PSN,0
10805,BE,23
10805,CDSPP,165
10805,MPT,4
10805,PCPPEV,78
10805,PCTPMRPP,9
10805,PH,3
10805,PPDPSD,740
10805,PPM,6
10805,PS,649
10805,PSN,6
10806,BE,20
10806,CDSPP,350
10806,MPT,2
10806,PCPPEV,36
10806,PCTPMRPP,5
10806,PH,6
10806,PPDPSD,1033
10806,PPM,4
10806,PS,621
10806,PSN,7
10807,BE,6
10807,CDSPP,132
10807,MPT,0
10807,PCPPEV,28
10807,PCTPMRPP,3
10807,PH,4
10807,PPDPSD,422
10807,PPM,5
10807,PS,276
10807,PSN,1
10901,BE,37
10901,CDSPP,424
10901,MPT,16
10901,PCPPEV,122
10901,PCTPMRPP,18
10901,PH,8
10901,PPDPSD,1826
10901,PPM,10
10901,PS,1982
10901,PSN,7
10902,BE,44
10902,CDSPP,301
10902,MPT,8
10902,PCPPEV,107
10902,PCTPMRPP,15
10902,PH,7
10902,PPDPSD,1030
10902,PPM,6
10902,PS,1979
10902,PSN,6
10903,BE,10
10903,CDSPP,239
10903,MPT,5
10903,PCPPEV,32
10903,PCTPMRPP,11
10903,PH,9
10903,PPDPSD,1314
10903,PPM,8
10903,PS,901
10903,PSN,8
10904,BE,18
10904,CDSPP,138
10904,MPT,4
10904,PCPPEV,45
10904,PCTPMRPP,8
10904,PH,5
10904,PPDPSD,521
10904,PPM,8
10904,PS,864
10904,PSN,0
10905,BE,8
10905,CDSPP,92
10905,MPT,3
10905,PCPPEV,13
10905,PCTPMRPP,7
10905,PH,6
10905,PPDPSD,299
10905,PPM,5
10905,PS,308
10905,PSN,2
10906,BE,104
10906,CDSPP,508
10906,MPT,20
10906,PCPPEV,187
10906,PCTPMRPP,35
10906,PH,15
10906,PPDPSD,1722
10906,PPM,11
10906,PS,2401
10906,PSN,8
10907,BE,62
10907,CDSPP,394
10907,MPT,16
10907,PCPPEV,309
10907,PCTPMRPP,24
10907,PH,17
10907,PPDPSD,1336
10907,PPM,15
10907,PS,2505
10907,PSN,11
10908,BE,15
10908,CDSPP,142
10908,MPT,1
10908,PCPPEV,34
10908,PCTPMRPP,7
10908,PH,4
10908,PPDPSD,481
10908,PPM,8
10908,PS,735
10908,PSN,1
10909,BE,2
10909,CDSPP,120
10909,MPT,1
10909,PCPPEV,13
10909,PCTPMRPP,8
10909,PH,3
10909,PPDPSD,350
10909,PPM,1
10909,PS,239
10909,PSN,1
10910,BE,0
10910,CDSPP,69
10910,MPT,2
10910,PCPPEV,8
10910,PCTPMRPP,1
10910,PH,4
10910,PPDPSD,378
10910,PPM,2
10910,PS,284
10910,PSN,5
10911,BE,23
10911,CDSPP,282
10911,MPT,9
10911,PCPPEV,33
10911,PCTPMRPP,7
10911,PH,7
10911,PPDPSD,1147
10911,PPM,6
10911,PS,1010
10911,PSN,7
10912,BE,8
10912,CDSPP,86
10912,MPT,0
10912,PCPPEV,8
10912,PCTPMRPP,0
10912,PH,2
10912,PPDPSD,467
10912,PPM,0
10912,PS,242
10912,PSN,3
10913,BE,36
10913,CDSPP,437
10913,MPT,21
10913,PCPPEV,117
10913,PCTPMRPP,20
10913,PH,10
10913,PPDPSD,1619
10913,PPM,11
10913,PS,2667
10913,PSN,7
10914,BE,12
10914,CDSPP,166
10914,MPT,2
10914,PCPPEV,56
10914,PCTPMRPP,8
10914,PH,4
10914,PPDPSD,553
10914,PPM,7
10914,PS,995
10914,PSN,0
10915,BE,10
10915,CDSPP,80
10915,MPT,3
10915,PCPPEV,31
10915,PCTPMRPP,5
10915,PH,7
10915,PPDPSD,300
10915,PPM,2
10915,PS,579
10915,PSN,3
10916,BE,31
10916,CDSPP,221
10916,MPT,3
10916,PCPPEV,90
10916,PCTPMRPP,16
10916,PH,8
10916,PPDPSD,1129
10916,PPM,12
10916,PS,1492
10916,PSN,1
10917,BE,17
10917,CDSPP,179
10917,MPT,4
10917,PCPPEV,84
10917,PCTPMRPP,13
10917,PH,7
10917,PPDPSD,1083
10917,PPM,7
10917,PS,1177
10917,PSN,5
10918,BE,19
10918,CDSPP,181
10918,MPT,3
10918,PCPPEV,255
10918,PCTPMRPP,20
10918,PH,4
10918,PPDPSD,654
10918,PPM,6
10918,PS,1058
10918,PSN,2
10919,BE,21
10919,CDSPP,389
10919,MPT,6
10919,PCPPEV,65
10919,PCTPMRPP,11
10919,PH,5
10919,PPDPSD,1273
10919,PPM,8
10919,PS,1127
10919,PSN,4
10920,BE,1
10920,CDSPP,68
10920,MPT,0
10920,PCPPEV,55
10920,PCTPMRPP,3
10920,PH,2
10920,PPDPSD,189
10920,PPM,2
10920,PS,351
10920,PSN,2
10921,BE,14
10921,CDSPP,272
10921,MPT,6
10921,PCPPEV,71
10921,PCTPMRPP,10
10921,PH,7
10921,PPDPSD,829
10921,PPM,4
10921,PS,1187
10921,PSN,2
10922,BE,5
10922,CDSPP,187
10922,MPT,5
10922,PCPPEV,19
10922,PCTPMRPP,5
10922,PH,6
10922,PPDPSD,768
10922,PPM,2
10922,PS,758
10922,PSN,2
10923,BE,11
10923,CDSPP,75
10923,MPT,5
10923,PCPPEV,18
10923,PCTPMRPP,4
10923,PH,1
10923,PPDPSD,324
10923,PPM,4
10923,PS,580
10923,PSN,3
10924,BE,17
10924,CDSPP,152
10924,MPT,5
10924,PCPPEV,27
10924,PCTPMRPP,8
10924,PH,3
10924,PPDPSD,744
10924,PPM,3
10924,PS,706
10924,PSN,3
10925,BE,17
10925,CDSPP,233
10925,MPT,6
10925,PCPPEV,80
10925,PCTPMRPP,16
10925,PH,7
10925,PPDPSD,998
10925,PPM,4
10925,PS,1428
10925,PSN,3
10926,BE,45
10926,CDSPP,279
10926,MPT,8
10926,PCPPEV,152
10926,PCTPMRPP,27
10926,PH,12
10926,PPDPSD,1053
10926,PPM,13
10926,PS,2137
10926,PSN,5
10927,BE,10
10927,CDSPP,140
10927,MPT,2
10927,PCPPEV,59
10927,PCTPMRPP,6
10927,PH,5
10927,PPDPSD,445
10927,PPM,3
10927,PS,736
