CODIGO,NOME,CONCELHO
11802,"Covão do Lobo",118
11803,"Fonte de Angeão",118
11804,"Gafanha da Boa Hora",118
11805,Ouca,118
11806,"Ponte de Vagos",118
11807,Soza,118
11808,Vagos,118
11809,"Santo Antonio de Vagos",118
11810,"Santo André de Vagos",118
11811,"Santa Catarina",118
11901,Arões,119
11902,"São Pedro de Castelões",119
11903,Cepelos,119
11904,Codal,119
11905,Junqueira,119
11906,"Macieira de Cambra",119
11907,Roge,119
11908,"Vila Chã",119
11909,"Vila Cova de Perrinho",119
20101,Aljustrel,201
20102,Ervidel,201
20103,Messejana,201
20104,"São João de Negrilhos",201
20105,"Rio de Moinhos",201
20201,Almodovar,202
20202,"Gomes Aires",202
20203,Rosário,202
20204,"Santa Clara-a-Nova",202
20205,"Santa Cruz",202
20206,"São Barnabé",202
20207,"Senhora da Graça de Padrões",202
20208,"Aldeia dos Fernandes",202
20301,Alvito,203
20302,"Vila Nova da Baronia",203
20401,Barrancos,204
20501,Albernoa,205
20502,Baleizão,205
20503,Beringel,205
20504,"Cabeça Gorda",205
20505,Mombeja,205
20506,"N Sra das Neves",205
20507,Quintos,205
20508,Salvada,205
20509,"B Salvador",205
20510,"Santa Clara de Louredo",205
20511,"B Sta Maria da Feira",205
20512,"Santa Vitoria",205
20513,"B Santiago Maior",205
20514,"São Brissos",205
20515,"B S João Baptista",205
20516,"São Matias",205
20517,Trindade,205
20518,Trigaches,205
20601,Casével,206
20602,"Castro Verde",206
20603,Entradas,206
20604,"Santa Barbara de Padrões",206
20605,"São Marcos da Ataboeira",206
20701,Cuba,207
20702,"Faro do Alentejo",207
20703,"Vila Alva",207
20704,"Vila Ruiva",207
20801,Alfundão,208
20802,"Ferreira do Alentejo",208
20803,"Figueira dos Cavaleiros",208
20804,Odivelas,208
20805,Peroguarda,208
20806,Canhestros,208
20901,"Alcaria Ruiva",209
20902,"Corte do Pinto",209
20903,"Espirito Santo",209
20904,Mértola,209
20905,"Santana de Cambas",209
20906,"São João dos Caldeireiros",209
20907,"São Miguel do Pinheiro",209
20908,"São Pedro de Solis",209
20909,"São Sebastião dos Carros",209
21001,Amareleja,210
21002,"Póvoa de São Miguel",210
21003,Safara,210
21004,"M Sto Agostinho",210
21005,"Santo Aleixo da Restauração",210
21006,"Santo Amador",210
21007,"M S João Baptista",210
21008,"Sobral da Adiça",210
21101,Colos,211
21102,Reliquias,211
21103,Sabóia,211
21104,"Santa Clara-a-Velha",211
21105,"O Sta Maria",211
21106,"São Luis",211
21107,"São Martinho das Amoreiras",211
21108,"O S Salvador",211
21109,"São Teotonio",211
21110,"Vale de Santiago",211
21111,"Vila Nova de Milfontes",211
21112,Pereiras-Gare,211
21113,Bicos,211
21114,"Zambujeira do Mar",211
21115,Luzianes-Gare,211
21201,Conceição,212
21202,Garvão,212
21203,Ourique,212
21204,Panoias,212
21205,"Santa Luzia",212
21206,"Santana da Serra",212
21301,"Aldeia Nova de São Bento",213
21302,Brinches,213
21303,Pias,213
21304,"S Salvador",213
21305,"S Sta Maria",213
21306,"Vale de Vargo",213
21307,"Vila Verde de Ficalho",213
21401,Pedrogão,214
21402,Selmes,214
21403,Vidigueira,214
21404,"Vila de Frades",214
30101,Amares,301
30102,Barreiros,301
30103,Besteiros,301
30104,Bico,301
30105,Caires,301
30106,Caldelas,301
30107,Carrazedo,301
30108,Dornelas,301
30109,Ferreiros,301
30110,Figueiredo,301
30111,Fiscal,301
30112,Goães,301
30113,Lago,301
30114,Paranhos,301
30115,"Paredes Secas",301
30116,Portela,301
30117,Prozelo,301
30118,Rendufe,301
30119,"Bouro (Sta Maria)",301
30120,"Bouro (Sta Marta)",301
30121,Sequeiros,301
30122,Seramil,301
30123,Torre,301
30124,Vilela,301
30201,"Abade de Neiva",302
30202,Aborim,302
30203,Adães,302
30204,Aguiar,302
30205,Airó,302
30206,Aldreu,302
30207,Alheira,302
30208,Alvelos,302
30209,Arcozelo,302
30210,Areias,302
30211,"Areias de Vilar",302
30212,Balugães,302
30213,Barcelinhos,302
30214,Barcelos,302
30215,Barqueiros,302
30216,Cambeses,302
30217,Campo,302
30218,Carapeços,302
30219,Carreira,302
30220,Carvalhal,302
30221,Carvalhos,302
30222,Chavão,302
30223,Chorente,302
30224,Cossourado,302
30225,Courel,302
30226,Couto,302
30227,Creixomil,302
30228,Cristelo,302
30229,Durrães,302
30230,Encourados,302
30231,Faria,302
30232,Feitos,302
30233,"Fonte Coberta",302
30234,Fornelos,302
30235,Fragoso,302
30236,Gamil,302
30237,Gilmonde,302
30238,Goios,302
30239,Grimancelos,302
30240,Gueral,302
30241,"Igreja Nova",302
30242,Lama,302
30243,Lijó,302
30244,"Macieira de Rates",302
30245,Manhente,302
30246,Mariz,302
30247,Martim,302
30248,Midões,302
30249,Milhazes,302
